latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
50.34279,18.871,296.62,0.54,0.51,2025-06-24,0137,N21,nominal,2.0NRT,283.72,0.52,N
36.39582,2.85158,349.16,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,298.77,6.61,N
50.53308,17.97496,299.71,0.49,0.48,2025-06-24,0137,N21,nominal,2.0NRT,285.52,1.32,N
36.39513,2.85585,314.46,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,290.94,1.1,N
50.41786,18.14381,296.14,0.5,0.49,2025-06-24,0137,N21,nominal,2.0NRT,283.33,0.79,N
50.41367,18.14116,295.39,0.5,0.49,2025-06-24,0137,N21,nominal,2.0NRT,284.26,1.33,N
36.39325,2.84655,329.24,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,295.58,6.61,N
50.03724,18.48703,298.57,0.53,0.5,2025-06-24,0137,N21,nominal,2.0NRT,283.55,1.22,N
52.49345,4.60993,327.28,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.67,3.42,N
36.39256,2.85079,340.28,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,296.59,6.61,N
52.49268,4.6161,322.58,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,288.6,1.74,N
52.49191,4.62228,300.62,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.72,1.74,N
36.39187,2.855,307.87,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,292.43,1.1,N
52.48737,4.60149,297.06,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.05,0.67,N
36.38997,2.84582,307.45,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.39,1.55,N
52.48549,4.588,326.76,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.19,1.9,N
36.17824,3.74956,327.85,0.4,0.37,2025-06-24,0141,N21,nominal,2.0NRT,294.55,2.86,N
52.48472,4.59419,301.43,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.23,1.9,N
52.48207,4.58686,330.09,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.2,3.15,N
36.96708,-1.90466,314.72,0.48,0.4,2025-06-24,0141,N21,nominal,2.0NRT,297.1,2.61,N
52.4813,4.59305,327.06,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.39,3.15,N
52.47559,4.61039,300.39,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.76,1,N
35.2333,8.17109,301.29,0.4,0.44,2025-06-24,0141,N21,nominal,2.0NRT,282.67,0.77,N
52.47523,4.58456,307.8,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.62,1,N
36.14047,2.9286,318.13,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,292.95,1.76,N
51.52018,6.97465,299.88,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.13,0.53,N
35.8781,4.44512,315.61,0.42,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.67,1.72,N
